id,link,name,brand,rel_year,rel_decade,notes,occasion,occasion_numbers,scent,longevity,sillage,bottle,value_for_money,season,season_numbers,style,style_numbers,type,type_numbers
522,https://www.parfumo.com/Perfumes/Xerjoff/naxos,Naxos  ,XerJoff,2015,2010,"['Lavender', 'Bergamot', 'Lemon', 'Honey', 'Cashmere', 'Cinnamon', 'Jasmine sambac', 'Tobacco', 'Tonka bean', 'Vanilla']","['Daily', 'Leisure', 'Night Out', 'Business', 'Evening']","[14, 19, 29, 9, 29]",8.9,8.8,8.6,9.2,7.6,"['Winter', 'Fall', 'Summer', 'Spring']","[31, 33, 12, 24]","['Masculine', 'Feminine', 'Classic', 'Modern']","[42, 19, 17, 23]","['Citrus', 'Spicy', 'Sweet', 'Oriental', 'Woody', 'Gourmand', 'Creamy']","[12, 18, 28, 6, 5, 16, 14]"
523,https://www.parfumo.com/Perfumes/Creed/aventus,Aventus  ,Creed,2010,2010,"['Apple', 'Bergamot', 'Blackcurrant', 'Lemon', 'Pink pepper', 'Pineapple', 'Indonesian patchouli', 'Jasmine', 'Birch', 'Cedarwood', 'Musk', 'Oakmoss', 'Ambergris']","['Daily', 'Sport', 'Leisure', 'Night Out', 'Business', 'Evening']","[21, 8, 20, 17, 18, 16]",8.4,7.3,7.3,7.7,5.4,"['Winter', 'Fall', 'Summer', 'Spring']","[14, 24, 30, 32]","['Masculine', 'Classic', 'Modern']","[50, 22, 28]","['Citrus', 'Spicy', 'Sweet', 'Smoky', 'Woody', 'Fruity', 'Fresh']","[16, 8, 5, 13, 14, 21, 22]"
524,https://www.parfumo.com/Perfumes/Dior/Dior_Homme_Intense_2011,Dior Homme Intense  ,Dior,2011,2010,"['Florentine iris absolute', 'Ecuadorian ambrette seed', 'Virginia cedar']","['Daily', 'Leisure', 'Night Out', 'Business', 'Evening']","[11, 14, 31, 11, 32]",8.5,8.3,8.0,8.3,8.1,"['Winter', 'Fall', 'Summer', 'Spring']","[38, 38, 5, 18]","['Masculine', 'Feminine', 'Classic', 'Modern']","[47, 11, 24, 18]","['Spicy', 'Sweet', 'Powdery', 'Oriental', 'Leathery', 'Woody', 'Gourmand', 'Creamy', 'Floral']","[10, 21, 24, 5, 4, 14, 8, 8, 6]"
525,https://www.parfumo.com/Perfumes/Parfums_de_Marly/Layton,Layton  ,Parfums de Marly,2016,2010,"['Apple', 'Lavender', 'Bergamot', 'Mandarin orange', 'Geranium', 'Jasmine', 'Violet', 'Vanilla', 'Cardamom', 'Gaiac wood', 'Sandalwood', 'Patchouli', 'Pink pepper']","['Daily', 'Leisure', 'Night Out', 'Business', 'Evening']","[17, 19, 26, 12, 26]",8.6,8.3,8.1,8.5,7.2,"['Winter', 'Fall', 'Summer', 'Spring']","[31, 34, 10, 25]","['Masculine', 'Feminine', 'Classic', 'Modern']","[49, 6, 16, 30]","['Spicy', 'Sweet', 'Oriental', 'Woody', 'Gourmand', 'Fruity', 'Fresh', 'Creamy']","[20, 25, 8, 12, 6, 16, 7, 6]"
526,https://www.parfumo.com/Perfumes/Prada/L_Homme,L'Homme  ,Prada,2016,2010,"['Iris', 'Amber', 'Neroli', 'Violet', 'Cedar', 'Geranium', 'Patchouli', 'Pepper']","['Daily', 'Sport', 'Leisure', 'Night Out', 'Business', 'Evening']","[25, 9, 21, 10, 26, 9]",8.4,7.4,7.1,8.2,8.2,"['Winter', 'Fall', 'Summer', 'Spring']","[17, 25, 28, 31]","['Masculine', 'Feminine', 'Classic', 'Modern']","[46, 8, 19, 28]","['Sweet', 'Powdery', 'Woody', 'Fresh', 'Creamy', 'Floral']","[13, 28, 5, 27, 12, 16]"
527,https://www.parfumo.com/Perfumes/Dior/Sauvage_Eau_de_Toilette,Sauvage ,Dior,2015,2010,"['Ambrox', 'Sichuan pepper', 'Calabrian bergamot', 'Pink pepper', 'Provençal lavender', 'Elemi resin', 'Geranium', 'Patchouli', 'Vetiver']","['Daily', 'Sport', 'Leisure', 'Night Out', 'Business', 'Evening']","[22, 10, 21, 15, 18, 15]",7.5,7.9,7.8,7.8,7.5,"['Winter', 'Fall', 'Summer', 'Spring']","[17, 26, 27, 30]","['Masculine', 'Classic', 'Modern']","[49, 15, 36]","['Citrus', 'Spicy', 'Synthetic', 'Sweet', 'Woody', 'Fresh', 'Aquatic']","[14, 21, 17, 6, 10, 26, 7]"
528,https://www.parfumo.com/Perfumes/Xerjoff/Erba_Pura,Erba Pura  ,XerJoff,2013,2010,"['Calabrian bergamot', 'Sicilian lemon', 'Sicilian orange', 'Fruity notes', 'White musk', 'Amber', 'Bourbon vanilla']","['Daily', 'Leisure', 'Night Out', 'Business', 'Evening']","[17, 28, 27, 8, 21]",7.6,9.0,8.8,8.8,7.1,"['Winter', 'Fall', 'Summer', 'Spring']","[12, 19, 34, 35]","['Masculine', 'Feminine', 'Classic', 'Modern']","[30, 34, 7, 29]","['Citrus', 'Synthetic', 'Sweet', 'Fruity', 'Fresh', 'Creamy', 'Floral']","[8, 11, 26, 29, 12, 6, 8]"
529,https://www.parfumo.com/Perfumes/Viktor_Rolf/Spicebomb_Extreme,Spicebomb Extreme  ,Viktor & Rolf,2015,2010,"['Black pepper', 'Pimento', 'Grapefruit', 'Cinnamon', 'Cumin', 'Saffron', 'Vanilla', 'Tobacco', 'Amber', 'Cistus']","['Daily', 'Leisure', 'Night Out', 'Business', 'Evening']","[10, 17, 33, 6, 34]",8.4,8.5,8.3,8.2,8.4,"['Winter', 'Fall', 'Spring']","[51, 41, 7]","['Masculine', 'Feminine', 'Classic', 'Modern']","[51, 5, 15, 29]","['Spicy', 'Sweet', 'Oriental', 'Woody', 'Gourmand']","[33, 28, 16, 11, 12]"
530,https://www.parfumo.com/Perfumes/Xerjoff/alexandria-ii-parfum,Alexandria II ,XerJoff,2012,2010,"['Lavender', 'Rosewood', 'Apple', 'Cinnamon', 'Bulgarian rose', 'Cedarwood', 'Lily of the valley', 'Laotian oud', 'Amber', 'Sandalwood', 'Musk', 'Vanilla']","['Daily', 'Leisure', 'Night Out', 'Business', 'Evening']","[7, 13, 35, 7, 38]",8.7,9.2,8.8,9.3,6.8,"['Winter', 'Fall', 'Summer', 'Spring']","[37, 38, 6, 19]","['Masculine', 'Feminine', 'Classic', 'Modern']","[43, 17, 26, 14]","['Spicy', 'Sweet', 'Oriental', 'Woody', 'Resinous', 'Creamy', 'Floral', 'Animal']","[19, 12, 22, 23, 6, 5, 8, 5]"
531,https://www.parfumo.com/Perfumes/Maison_Francis_Kurkdjian/Grand_Soir,Grand Soir  ,Maison Francis Kurkdjian,2016,2010,"['Benzoin Siam', 'Vanilla', 'Spanish labdanum', 'Brazilian tonka bean', 'Lavender', 'Venezuelan tonka bean']","['Daily', 'Leisure', 'Night Out', 'Business', 'Evening']","[7, 14, 36, 6, 38]",8.5,8.8,8.3,8.6,7.5,"['Winter', 'Fall', 'Summer', 'Spring']","[41, 40, 5, 14]","['Masculine', 'Feminine', 'Classic', 'Modern']","[39, 26, 22, 13]","['Spicy', 'Sweet', 'Oriental', 'Woody', 'Resinous', 'Gourmand', 'Creamy']","[16, 23, 13, 7, 21, 12, 8]"
